source,rating,text,date,order_type,meal_type,price_per_person,food_rating,service_rating,atmosphere_rating,recommended_dishes,wait_time,user_location,user_reviews,user_elite,feedback_useful,feedback_funny,feedback_cool
Google,4.0,"Great food, but every time I call it’s a 30 minute wait and I end up waiting a extra 5 when theirs only 2 other customers here. Service is just fine. If u got the time its worth the wait",2023-02-15T01:30:27Z,,,,,,,,,,,,,,
Google,5.0,Love this place! Love the curries.. The yellow and panang are soo good and the Beef Pad See ew (sp?) is delicious. We live right across the street and order from here several times a month. Highly recommend.,2017-12-01T02:19:47Z,,,,,,,,,,,,,,
Google,5.0,"Best Thai food I’ve ever had, I highly recommend the sea food soup and the orange chicken, they are simply amazing. The portions are very good for the price! A bargain!",2019-09-25T23:55:12Z,,,,,,,,,,,,,,
Google,4.0,Great food! Loved the green Curry I got the other day. Also loved the combo fried rice. I recommend getting the wontons with plum sauce,2022-08-25T00:17:25Z,,,,,,,,,,,,,,
Google,5.0,Very good Thai food. I like their spicy beef noodles. The service is very polite and helpful and the food is always fresh and prepared on the spot. I recommend to all Asian food lovers.,2020-01-10T06:13:50Z,,,,,,,,,,,,,,
Google,5.0,"Has your standard Thai offerings (pad Thai, panang curry, prik king). What really elevates this humble spot in a strip mall is their tom kha soup, which is definitely one of the best versions I've had.",2018-12-01T04:03:50Z,,,,,,,,,,,,,,
Google,5.0,"Got the Drunken Noodles with chicken, super delicious! A bounty of veggies, great tasting noodles, nice basil bits, and quality chicken. 10/10 would recommend",2020-07-17T00:45:38Z,,,,,,,,,,,,,,
Google,5.0,Nikki and Apple make the best Thai food. Haven't eaten anywhere else .,2025-11-24T05:49:04Z,,,,5.0,5.0,5.0,,,,,,,,
Google,5.0,"Delicious food, generous portions and relaxing atmosphere. Will visit again.",2025-07-21T01:54:53Z,,Lunch,$10–20,5.0,5.0,5.0,,,,,,,,
Google,5.0,Nice clean and quiet place. The owners Jenny and her husband Pat are always very friendly. The food is excellent and good sized portions..not overly priced. I always come back for more.😃,2017-08-11T19:23:22Z,,,,,,,,,,,,,,
Google,5.0,Had the Spicy Fried Rice and Pad See Ew both were great! Quantity was enough for leftovers. Staff is very friendly and courteous.,2018-02-28T04:47:20Z,,,,,,,,,,,,,,
Google,5.0,The tom kha soup and spicy noodles were both amazing! I loved my panang as well! Great $9 lunch special.,2020-12-21T21:42:21Z,,,,,,,,,,,,,,
Google,5.0,"Nothing else to say. 5 stars. Best thai food I've had in a long. long. long. time. Beats Lumkanaad outta the park. Had the spicy noodles, tom kha kai, and beef salad. Perfect heat and acidity. Gotta say it again. 5 stars",2019-10-10T01:24:44Z,,,,,,,,,,,,,,
